date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:29	729/729	---MC-	200	added ('OK')	text/plain	date:Fri,%2026%20May%202023%2016:58:11%20GMT	https://msquarehotelng.com/robots.txt		(from )
17:58:32	269642/269642	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2016:58:12%20GMT	https://msquarehotelng.com/	C:/My%20Web%20Sites/idera/msquarehotelng.com/index.html	(from )
17:58:34	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2026%20May%202023%2016:58:23%20GMT	https://msquarehotelng.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/idera/msquarehotelng.com/xmlrpc.00db0.delayed	(from https://msquarehotelng.com/)
17:58:35	1655/1655	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2019%20May%202023%2006:42:10%20GMT	https://msquarehotelng.com/comments/feed/	C:/My%20Web%20Sites/idera/msquarehotelng.com/comments/feed/index.html	(from https://msquarehotelng.com/)
17:58:35	4606/4606	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2019%20May%202023%2006:42:10%20GMT	https://msquarehotelng.com/feed/	C:/My%20Web%20Sites/idera/msquarehotelng.com/feed/index.html	(from https://msquarehotelng.com/)
17:58:36	3264/3264	---M-Z	200	added ('OK')	text/css	etag:%22cc0-5659f15afbf5e-gzip%22	https://live.ipms247.com/themes/reservation/css/bookingbtn/resui_datepicker.css	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/css/bookingbtn/resui_datepicker.css	(from https://msquarehotelng.com/)
17:58:36	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2026%20May%202023%2016:58:26%20GMT	https://msquarehotelng.com/contact/	C:/My%20Web%20Sites/idera/msquarehotelng.com/contact/index.html	(from https://msquarehotelng.com/)
17:58:37	2734/2734	---M-Z	200	added ('OK')	text/css	etag:%22aae-5659f15afbf5e-gzip%22	https://live.ipms247.com/themes/reservation/css/bookingbtn/resui_bookingbox.css	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/css/bookingbtn/resui_bookingbox.css	(from https://msquarehotelng.com/)
17:58:37	225499/225499	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2016:58:18%20GMT	https://msquarehotelng.com/amenities/	C:/My%20Web%20Sites/idera/msquarehotelng.com/amenities/index.html	(from https://msquarehotelng.com/)
17:58:38	133229/133229	---M-Z	200	added ('OK')	application/javascript	etag:%222086d-5659f15b1d29b-gzip%22	https://live.ipms247.com/themes/reservation/js/bookingbtn/jquery-ui.js	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/js/bookingbtn/jquery-ui.js	(from https://msquarehotelng.com/)
17:58:39	38428/38428	---M-Z	200	added ('OK')	application/javascript	etag:%22961c-5d9d9f7bff56d-gzip%22	https://live.ipms247.com/themes/reservation/js/bookingbtn/common.js	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/js/bookingbtn/common.js	(from https://msquarehotelng.com/)
17:58:39	26656/26656	---M-Z	200	added ('OK')	application/javascript	etag:%226820-5be591f9b00af-gzip%22	https://live.ipms247.com/themes/reservation/js/bookingbtn/resui_resbookingbox.js	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/js/bookingbtn/resui_resbookingbox.js	(from https://msquarehotelng.com/)
17:58:42	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2026%20May%202023%2016:58:31%20GMT	https://msquarehotelng.com/contact/	C:/My%20Web%20Sites/idera/msquarehotelng.com/contact/index.html	(from https://msquarehotelng.com/)
17:58:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20May%202023%2016:58:24%20GMT	https://msquarehotelng.com/?p=146	C:/My%20Web%20Sites/idera/msquarehotelng.com/indexf488.html	(from https://msquarehotelng.com/amenities/)
17:58:44	206482/206482	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2016:58:24%20GMT	https://msquarehotelng.com/gallery/	C:/My%20Web%20Sites/idera/msquarehotelng.com/gallery/index.html	(from https://msquarehotelng.com/)
17:58:44	208921/208921	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2016:58:24%20GMT	https://msquarehotelng.com/rooms-2/	C:/My%20Web%20Sites/idera/msquarehotelng.com/rooms-2/index.html	(from https://msquarehotelng.com/)
17:58:44	3365/3365	---M--	200	added ('OK')	image/png	etag:%22d25-5659f15afcefe%22	https://live.ipms247.com/themes/reservation/images/bookingbtn/calendar.png	C:/My%20Web%20Sites/idera/live.ipms247.com/themes/reservation/images/bookingbtn/calendar.png	(from https://live.ipms247.com/themes/reservation/css/bookingbtn/resui_bookingbox.css)
17:58:44	0/-1	---M--	409	error ('')			https://msquarehotelng.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/idera/msquarehotelng.com/xmlrpc0db0.html	(from https://msquarehotelng.com/)
17:58:46	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2026%20May%202023%2016:58:36%20GMT	https://msquarehotelng.com/contact/	C:/My%20Web%20Sites/idera/msquarehotelng.com/contact/index.html	(from https://msquarehotelng.com/)
17:58:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20May%202023%2016:58:28%20GMT	https://msquarehotelng.com/?p=912	C:/My%20Web%20Sites/idera/msquarehotelng.com/index94f9.html	(from https://msquarehotelng.com/gallery/)
17:58:47	0/-1	---M--	409	error ('')			https://msquarehotelng.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/idera/msquarehotelng.com/xmlrpc0db0.html	(from https://msquarehotelng.com/)
17:58:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20May%202023%2016:58:28%20GMT	https://msquarehotelng.com/?p=144	C:/My%20Web%20Sites/idera/msquarehotelng.com/index421d.html	(from https://msquarehotelng.com/rooms-2/)
17:58:48	220486/220486	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2016:58:29%20GMT	https://msquarehotelng.com/about-us/	C:/My%20Web%20Sites/idera/msquarehotelng.com/about-us/index.html	(from https://msquarehotelng.com/)
17:58:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20May%202023%2016:58:32%20GMT	https://msquarehotelng.com/?p=712	C:/My%20Web%20Sites/idera/msquarehotelng.com/indexbf05.html	(from https://msquarehotelng.com/about-us/)
